Contig	LCAStar	LCAStar_p	LCAStar_dist	LCAStar_WTD	Majority	Majority_p	Majority_dist	Majority_WTD	LCASquared	LCASquared_dist	LCASquared_WTD	Original
GEBA_SAG_0000001_A7_0	candidate division pSL4 archaeon JGI 0000001-A7	0.0	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.0	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_1	candidate division pSL4 archaeon JGI 0000001-A7	0.008	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.088	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_2	candidate division pSL4 archaeon JGI 0000001-A7	0.0	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.0	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_3	unclassified Thaumarchaeota (miscellaneous)	0.028	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.477	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_4	unclassified Thaumarchaeota (miscellaneous)	0.0	1	-0.015625	candidate division pSL4 archaeon SCGC AAA471-E14	0.526	2	-0.03125	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_5	unclassified Thaumarchaeota (miscellaneous)	0.0	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.592	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_6	candidate division pSL4 archaeon JGI 0000001-A7	0.001	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.001	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_7	candidate division pSL4 archaeon JGI 0000001-A7	0.004	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.004	0	0	Aigarchaeota archaeon JGI 0000001-A7	0	0	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_8	candidate division pSL4 archaeon JGI 0000001-A7	0.086	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.086	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_9	candidate division pSL4 archaeon JGI 0000001-A7	0.016	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.016	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_18	"Archaea" Woese et al. 1990	0.165	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7	1.0	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_19	candidate division pSL4 archaeon JGI 0000001-A7	0.2	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.2	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_12	candidate division pSL4 archaeon JGI 0000001-A7	0.005	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.005	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_13	candidate division pSL4 archaeon JGI 0000001-A7	0.05	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.05	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_10	candidate division pSL4 archaeon JGI 0000001-A7	0.016	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.016	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_11	"Archaea" Woese et al. 1990	0.003	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7	0.088	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_16	candidate division pSL4 archaeon JGI 0000001-A7	0.024	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.024	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_17	unclassified Thaumarchaeota (miscellaneous)	0.165	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7	0.306	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_14	unclassified Thaumarchaeota (miscellaneous)	0.0	1	-0.015625	candidate division pSL4 archaeon SCGC AAA471-E14	0.563	2	-0.03125	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_15	unclassified Thaumarchaeota (miscellaneous)	0.003	1	-0.015625	candidate division pSL4 archaeon SCGC AAA471-E14	1.0	2	-0.03125	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_30	unclassified Thaumarchaeota (miscellaneous)	0.019	1	-0.015625	candidate division pSL4 archaeon SCGC AAA471-G05	1.0	2	-0.03125	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_31	candidate division pSL4 archaeon JGI 0000001-A7	0.56	0	0	candidate division pSL4 archaeon JGI 0000001-A7	0.56	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_A7_32	unclassified Thaumarchaeota	0.003	2	-0.046875	candidate division pSL4 archaeon JGI 0000001-A7	0.148	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-A7
GEBA_SAG_0000001_B8_30	unclassified Thaumarchaeota (miscellaneous)	0.096	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	1.0	0	0	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_15	candidate division pSL4 archaeon JGI 0000001-B8	0.013	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.013	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_25	unclassified Thaumarchaeota (miscellaneous)	0.306	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.56	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_24	candidate division pSL4 archaeon JGI 0000001-B8	0.165	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.165	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_27	candidate division pSL4 archaeon JGI 0000001-B8	0.041	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.041	0	0	Aigarchaeota archaeon JGI 0000001-B8	0	0	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_26	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_21	candidate division pSL4 archaeon JGI 0000001-B8	0.088	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.088	0	0	"Aigarchaeota" Nunoura et al. 2011	3	-0.109375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_20	"Archaea" Woese et al. 1990	0.013	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8	0.654	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_23	candidate division pSL4 archaeon JGI 0000001-B8	0.047	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.047	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_22	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_29	candidate division pSL4 archaeon SCGC AAA471-A16	0.56	2	-0.03125	candidate division pSL4 archaeon SCGC AAA471-A16	0.56	2	-0.03125	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_28	unclassified Thaumarchaeota (miscellaneous)	0.56	1	-0.015625	Desulfobacula toluolica	1.0	13	-0.982421875	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_34	"Archaea" Woese et al. 1990	0.56	4	-0.234375	Nitrolancetus hollandicus	1.0	14	-0.9833984375	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_6	unclassified Thaumarchaeota (miscellaneous)	0.015	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.103	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_7	candidate division pSL4 archaeon JGI 0000001-B8	0.192	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.192	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_4	unclassified Thaumarchaeota (miscellaneous)	0.56	1	-0.015625	Haloferax mediterranei	1.0	10	-0.48046875	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_5	unclassified Thaumarchaeota (miscellaneous)	0.344	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.617	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_2	unclassified Thaumarchaeota (miscellaneous)	0.103	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.244	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_3	candidate division pSL4 archaeon JGI 0000001-B8	0.103	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.103	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_0	unclassified Thaumarchaeota (miscellaneous)	0.0	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.014	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_1	candidate division pSL4 archaeon JGI 0000001-B8	0.084	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.084	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_32	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.306	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_13	candidate division pSL4 archaeon JGI 0000001-B8	0.014	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.014	0	0	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_8	"Archaea" Woese et al. 1990	0.013	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8	0.654	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_9	candidate division pSL4 archaeon JGI 0000001-B8	0.047	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.148	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_10	candidate division pSL4 archaeon JGI 0000001-B8	0.009	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.009	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_11	candidate division pSL4 archaeon JGI 0000001-B8	0.046	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.046	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_12	candidate division pSL4 archaeon JGI 0000001-B8	0.001	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.001	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_35	candidate division pSL4 archaeon JGI 0000001-B8	0.56	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.56	0	0	unclassified Thaumarchaeota (miscellaneous)	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_14	unclassified Thaumarchaeota (miscellaneous)	0.013	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.249	0	0	root	7	-1.984375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_33	unclassified Thaumarchaeota (miscellaneous)	0.306	1	-0.015625	candidate division pSL4 archaeon JGI 0000001-B8	0.56	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_16	candidate division pSL4 archaeon JGI 0000001-B8	0.028	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.028	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_17	candidate division pSL4 archaeon JGI 0000001-B8	0.088	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.088	0	0	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_18	candidate division pSL4 archaeon JGI 0000001-B8	0.148	0	0	candidate division pSL4 archaeon JGI 0000001-B8	0.148	0	0	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_19	Halorubrum coriense	0.654	10	-0.48046875	Halorubrum coriense	0.654	10	-0.48046875	"Archaea" Woese et al. 1990	4	-0.234375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B8_31	"Archaea" Woese et al. 1990	0.306	4	-0.234375	candidate division pSL4 archaeon SCGC AAA471-A16	1.0	2	-0.03125	Monera	5	-0.484375	candidate division pSL4 archaeon JGI 0000001-B8
GEBA_SAG_0000001_B9_15	candidate division EM 19 bacterium JGI 0000001-B9	0.028	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.028	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_17	candidate division EM 19 bacterium JGI 0000001-B9	0.249	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.249	0	0	Not yet classified (Prokaryotae)	3	-0.109375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_58	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_28	unclassified Fervidibacteria	0.096	1	-0.015625	candidate division EM 19 bacterium SCGC AAA471-D06	1.0	2	-0.03125	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_29	candidate division EM 19 bacterium SCGC AAA471-D06	0.477	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.477	2	-0.03125	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_26	candidate division EM 19 bacterium SCGC AAA471-D06	0.013	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.013	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_27	Not yet classified (Prokaryotae)	0.0	3	-0.109375	unclassified candidate division EM 19	0.125	5	-0.203125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_24	candidate division EM 19 bacterium SCGC AAA471-D06	0.705	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.705	2	-0.03125	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_25	candidate division EM 19 bacterium SCGC AAA471-D06	0.306	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.306	2	-0.03125	Monera	5	-0.484375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_22	candidate division EM 19 bacterium SCGC AAA471-D06	0.244	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.244	2	-0.03125	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_23	unclassified Fervidibacteria	0.003	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.526	0	0	root	7	-1.984375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_20	unclassified Fervidibacteria	0.0	1	-0.015625	candidate division EM 19 bacterium SCGC AAA471-D06	0.637	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_21	candidate division EM 19 bacterium SCGC AAA471-D06	0.013	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.013	2	-0.03125	Monera	5	-0.484375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_62	unclassified Fervidibacteria	0.047	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	1.0	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_63	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_60	candidate division EM 19 bacterium SCGC AAA471-D06	0.313	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.313	2	-0.03125	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_61	candidate division EM 19 bacterium JGI 0000001-B9	0.165	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.165	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_48	candidate division EM 19 bacterium JGI 0000001-B9	0.705	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.705	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_67	candidate division EM 19 bacterium JGI 0000001-B9	None	0	0	candidate division EM 19 bacterium JGI 0000001-B9	None	0	0	Fervidibacteria bacterium JGI 0000001-B9	0	0	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_64	candidate division EM 19 bacterium JGI 0000001-B9	0.654	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.654	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_65	unclassified Fervidibacteria	0.306	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.56	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_73	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_66	unclassified Fervidibacteria	0.306	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.56	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_46	candidate division EM 19 bacterium JGI 0000001-B9	0.56	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.56	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_69	unclassified Fervidibacteria	0.096	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	1.0	0	0	unclassified Fervidibacteria	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_40	Not yet classified (Prokaryotae)	0.165	3	-0.109375	candidate division EM 19 bacterium JGI 0000001-B9	0.306	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_41	candidate division EM 19 bacterium JGI 0000001-B9	0.249	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.249	0	0	Not yet classified (Prokaryotae)	3	-0.109375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_42	candidate division EM 19 bacterium SCGC AAA471-D06	0.024	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.024	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_49	unclassified Fervidibacteria	0.306	1	-0.015625	candidate division EM 19 bacterium SCGC AAA471-D06	0.56	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_9	unclassified Fervidibacteria	0.0	1	-0.015625	candidate division EM 19 bacterium SCGC AAA471-D06	0.403	2	-0.03125	Not yet classified (Prokaryotae)	3	-0.109375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_8	candidate division EM 19 bacterium SCGC AAA471-D06	0.016	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.016	2	-0.03125	root	7	-1.984375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_7	unclassified Fervidibacteria	0.003	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.148	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_6	candidate division EM 19 bacterium SCGC AAA471-D06	0.0	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.0	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_5	Not yet classified (Prokaryotae)	0.047	3	-0.109375	candidate division EM 19 bacterium SCGC AAA471-D06	1.0	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_4	unclassified Fervidibacteria	0.0	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.617	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_3	candidate division EM 19 bacterium SCGC AAA471-D06	0.0	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.0	2	-0.03125	root	7	-1.984375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_2	candidate division EM 19 bacterium SCGC AAA471-D06	0.001	2	-0.03125	candidate division EM 19 bacterium SCGC AAA471-D06	0.001	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_72	candidate division EM 19 bacterium JGI 0000001-B9	0.165	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.165	0	0	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_0	unclassified Fervidibacteria	0.0	1	-0.015625	candidate division EM 19 bacterium SCGC AAA471-D06	0.67	2	-0.03125	Bacteria	4	-0.234375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_44	unclassified Fervidibacteria	0.024	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	0.705	0	0	Not yet classified (Prokaryotae)	3	-0.109375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_54	unclassified Fervidibacteria	0.047	1	-0.015625	candidate division EM 19 bacterium JGI 0000001-B9	1.0	0	0	Monera	5	-0.484375	candidate division EM 19 bacterium JGI 0000001-B9
GEBA_SAG_0000001_B9_1	candidate division EM 19 bacterium JGI 0000001-B9	0.041	0	0	candidate division EM 19 bacterium JGI 0000001-B9	0.041	0	0	Fervidibacteria bacterium JGI 0000001-B9	0	0	candidate division EM 19 bacterium JGI 0000001-B9
